Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
1998,AL,Jeff Abbott,25,CHW,89,261,244,33,68,14,1,12,41,9,28,0.279,0.298,0.492,0.79,120
1998,AL,Kurt Abbott,29,OAK,35,136,123,17,33,7,1,2,9,10,34,0.268,0.326,0.39,0.716,48
1998,AL,Rick Aguilera,36,MIN,5,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Scott Aldred,30,TBD,2,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Luis Alicea,32,TEX,101,308,259,51,71,15,3,6,33,37,40,0.274,0.372,0.425,0.796,110
1998,AL,Jermaine Allensworth,26,KCR,30,91,73,15,15,5,0,0,3,9,17,0.205,0.326,0.274,0.6,20
1998,AL,Roberto Alomar,30,BAL,147,657,588,86,166,36,1,14,56,59,70,0.282,0.347,0.418,0.765,246
1998,AL,Sandy Alomar,32,CLE,117,438,409,45,96,26,2,6,44,18,45,0.235,0.27,0.352,0.622,144
1998,AL,Gabe Alvarez,24,DET,58,221,199,16,46,11,0,5,29,18,65,0.231,0.299,0.362,0.66,72
1998,AL,Rich Amaral,36,SEA,73,149,134,25,37,6,0,1,4,13,24,0.276,0.342,0.343,0.686,46
1998,AL,Brady Anderson,34,BAL,133,574,479,84,113,28,3,18,51,75,78,0.236,0.356,0.42,0.776,201
1998,AL,Garret Anderson,26,ANA,156,658,622,62,183,41,7,15,79,29,80,0.294,0.325,0.455,0.78,283
1998,AL,Matt Anderson,21,DET,2,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Luis Andujar,25,TOR,1,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Rolando Arrojo,32,TBD,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0
1998,AL,Billy Ashley,27,BOS,13,26,24,3,7,3,0,3,7,2,11,0.292,0.346,0.792,1.138,19
1998,AL,Paul Assenmacher,37,CLE,5,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Steve Avery,28,BOS,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1998,AL,Bobby Ayala,28,SEA,4,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Scott Bailes,36,TEX,3,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Harold Baines,39,BAL,104,328,293,40,88,17,0,9,57,32,40,0.3,0.369,0.451,0.819,132
1998,AL,Paul Bako,26,DET,96,333,305,23,83,12,1,3,30,23,82,0.272,0.319,0.348,0.667,106
1998,AL,James Baldwin,26,CHW,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,AL,Kimera Bartee,25,DET,57,105,98,20,19,5,1,3,15,6,35,0.194,0.238,0.357,0.595,35
1998,AL,Justin Baughman,23,ANA,63,211,196,24,50,9,1,1,20,6,36,0.255,0.277,0.327,0.603,64
