Year,League,Teams,No of Bat,Batter Age,Runs Scored per gm,Games,Plate app,At Bats,Runs,Hits,2B,3B,HR,RBI,Walks,SO,Hits/AB,OBP,SLG,OPS,TB
2019,AL,15,543,27.9,4.9,1873,71893,64404,9182,16356,3359,300,2688,8754,6103,16338,0.254,0.323,0.441,0.764,28379
2018,AL,15,603,28.2,4.53,2430,92254,82710,10999,20615,4271,390,2900,10490,7637,20206,0.249,0.318,0.415,0.734,34366
2017,AL,15,577,28.6,4.71,2430,92622,83034,11443,21230,4194,334,3170,10901,7785,19794,0.256,0.324,0.429,0.753,35602
2016,AL,15,575,28.7,4.52,2428,92040,82926,10970,21299,4154,371,2953,10496,7365,19096,0.257,0.321,0.423,0.744,35054
2015,AL,15,598,28.5,4.39,2428,91838,82836,10651,21159,4166,459,2634,10142,7047,18281,0.255,0.318,0.412,0.73,34145
2014,AL,15,575,28.7,4.18,2430,92190,83123,10161,21033,4132,390,2161,9636,7091,18245,0.253,0.316,0.39,0.706,32428
2013,AL,15,565,28.7,4.33,2432,92757,83380,10525,21325,4183,348,2504,10028,7534,18336,0.256,0.32,0.404,0.725,33716
2012,AL,14,506,28.7,4.45,2268,86116,77437,10088,19780,3808,369,2500,9628,6896,16618,0.255,0.32,0.411,0.731,31826
2011,AL,14,483,28.7,4.46,2268,86482,77586,10117,20004,4005,411,2271,9645,6986,15588,0.258,0.323,0.408,0.73,31644
2010,AL,14,506,29,4.45,2268,86744,77467,10097,20131,4016,368,2209,9600,7367,15214,0.26,0.327,0.407,0.734,31510
2009,AL,14,491,29,4.82,2270,87538,77965,10938,20783,4131,388,2560,10437,7694,15309,0.267,0.336,0.428,0.764,33370
2008,AL,14,506,28.9,4.78,2268,87630,78119,10844,20901,4285,408,2270,10338,7521,14834,0.268,0.336,0.42,0.756,32812
2007,AL,14,495,29.2,4.9,2268,87816,78294,11114,21181,4299,433,2252,10593,7503,14740,0.271,0.338,0.423,0.761,33102
2006,AL,14,488,29.1,4.97,2268,87676,78497,11262,21572,4301,391,2546,10743,7247,14229,0.275,0.339,0.437,0.776,34293
2005,AL,14,487,29,4.76,2268,86968,78215,10790,20933,4109,420,2437,10266,6811,13764,0.268,0.33,0.424,0.755,33193
2004,AL,14,499,29.2,5.01,2266,88332,78731,11358,21251,4232,404,2605,10814,7486,14529,0.27,0.338,0.433,0.771,34106
2003,AL,14,494,28.7,4.86,2270,87630,78311,11033,20931,4170,443,2499,10505,7223,13805,0.267,0.333,0.428,0.761,33484
2002,AL,14,483,28.8,4.81,2264,87174,77788,10892,20519,4218,433,2464,10371,7325,14233,0.264,0.331,0.424,0.755,32995
2001,AL,14,496,29,4.86,2266,87523,78134,11013,20852,4200,440,2506,10508,7239,14496,0.267,0.334,0.428,0.762,33450
2000,AL,14,495,29.1,5.3,2265,89007,78547,11995,21652,4269,420,2688,11418,8502,14012,0.276,0.349,0.443,0.792,34825
1999,AL,14,492,28.8,5.18,2265,88424,78126,11725,21447,4121,419,2635,11140,8289,13966,0.275,0.347,0.439,0.786,34311
1998,AL,14,488,29.3,5.01,2268,88175,78416,11365,21276,4248,408,2499,10767,7737,14438,0.271,0.34,0.432,0.771,33837
1997,AL,14,499,29.1,4.93,2264,88167,78235,11164,21171,4097,398,2477,10592,7962,14617,0.271,0.34,0.428,0.768,33495
1996,AL,14,345,28.9,5.39,2266,89734,79090,12208,21922,4205,421,2742,11583,8592,14056,0.277,0.35,0.445,0.795,35195
1995,AL,14,341,29,5.06,2020,78878,69522,10225,18791,3591,406,2164,9691,7572,12116,0.27,0.344,0.427,0.771,29686
1994,AL,14,291,29.1,5.23,1594,62553,55198,8330,15048,2939,325,1774,7885,5938,9619,0.273,0.345,0.434,0.779,23959
1993,AL,14,352,28.9,4.71,2268,87579,77506,10674,20661,3861,427,2074,10063,8006,12952,0.267,0.337,0.408,0.745,31598
1992,AL,14,334,28.6,4.32,2268,86887,77147,9802,20006,3596,386,1776,9222,7704,12196,0.259,0.328,0.385,0.713,29702
1991,AL,14,351,28.5,4.49,2268,87305,77603,10172,20195,3680,453,1953,9610,7730,12944,0.26,0.329,0.395,0.724,30640
1990,AL,14,335,28.6,4.3,2266,86327,76800,9746,19900,3559,460,1796,9154,7631,12689,0.259,0.327,0.388,0.715,29767
1989,AL,14,348,28.5,4.29,2266,86204,77004,9732,20078,3404,457,1718,9103,7277,12296,0.261,0.326,0.384,0.709,29550
